question	answer
What are the different types of Creative Commons licenses and how do they vary?	Creative Commons licenses range from the most open (CC BY) to more restrictive (e.g., CC BY-NC-ND). They vary by allowing or restricting commercial use, modifications, and attribution requirements.
Is it mandatory to include a Creative Commons license when publishing in an open access journal?	Not always. Some journals apply a default license, while others allow authors to choose. Authors should check the journal's OA policy.
Can Creative Commons licenses be used for non-academic content like photos and videos?	Yes, CC licenses are widely used for images, videos, music, and educational materials, not just academic content.
What is academic integrity?	Academic integrity is the commitment to honesty, ethical behavior, and respect for othersâ€™ work in all academic activities, including research, assessments, and learning.
Why is academic integrity important at RCSI?	Academic integrity is essential at RCSI as it reflects the core values of professionalism, honesty, and accountability. It ensures the credibility of academic work, supports a fair learning environment, and safeguards the reputation of both students and the institution.
What are the core values of academic integrity at RCSI?	Responsibility, Respect, Fairness, Honesty, Trust, and Courage.
What is the Academic Integrity Module (AIM)?	AIM is a mandatory online module that all undergraduate and postgraduate students must complete in their first semester.
What constitutes academic misconduct?	Academic misconduct includes plagiarism, cheating, falsification, contract cheating, impersonation, collusion, and other dishonest academic behaviors.
What is plagiarism and how can it be avoided?	Plagiarism is using someone elseâ€™s work without acknowledgment. Avoid it by citing sources properly, paraphrasing with attribution, and using Turnitin.
What is contract cheating?	Contract cheating involves getting another person or service to complete academic work on your behalf, often for payment.
How can students avoid contract cheating?	Plan your schedule, seek help from professors or librarians, and use institutional support resources.
What is falsification in academic work?	Falsification involves misrepresenting or fabricating information or research data for academic credit.
How can I avoid falsification?	Manage time well, complete assignments independently, and understand proper citation practices.
What is self-plagiarism?	Self-plagiarism is submitting the same work for more than one course without permission.
How can I avoid self-plagiarism?	Cite your own previous work, ensure new content is original, and disclose reused material to instructors or editors.
What is impersonation in academic settings?	Impersonation includes taking a test for someone else or having someone take a test on your behalf.
How can I avoid impersonation issues?	Prepare in advance, attend your own assessments, and seek help if you're struggling.
What is collusion in academic work?	Collusion is a form of academic misconduct involving unauthorized collaboration between students. It occurs when one student allows another to copy, use, or significantly edit their work, presenting it as their own, which undermines independent learning and assessment integrity.
How can I avoid collusion?	Avoid sharing work unless instructed to collaborate, and do not allow others to proofread your assignments unless approved.
What are studentsâ€™ responsibilities regarding academic integrity?	Students must ensure submitted work is their own, cite all sources, and be honest in representing their contributions.
What are the consequences of academic misconduct at RCSI?	Consequences range from warnings (Level 1), formal records (Level 2), to disciplinary hearings (Level 3) based on the severity of the misconduct.
Who can I contact for support regarding academic integrity?	Contact Dr. Bindhu Nair at bnair@rcsi-mub.com or Dr. Suchita Dsilva at sdsilva@rcsi-mub.com.
What is referencing?	Referencing is a method used to show youâ€™ve conducted appropriate reading and research by acknowledging sources when you quote, copy, paraphrase, or summarize others' work.
Why do I need to reference?	Referencing enhances your writing, strengthens academic arguments, shows your information sources, and allows readers to verify your work.
What is the Vancouver referencing style?	Vancouver Style is a numbered referencing system used primarily in medicine and science, following rules from the ICMJE and maintained by the U.S. National Library of Medicine.
How are in-text citations formatted in Vancouver style?	In-text citations appear as numbers in superscript or in parentheses, corresponding to a numbered reference list.
How is the Vancouver reference list organized?	The reference list is numbered sequentially in the order citations appear in the text and includes only cited works.
Do I use the same reference number for repeat citations?	Yes, once a source is cited, the same number is reused in all subsequent citations.
What should I do if there is no publication date?	Include as much information as possible; consult referencing guidelines for cases with missing dates.
How do I cite a source with no identifiable author?	Use the title of the source in place of the author in the reference list.
What is the difference between a reference list and a bibliography?	A reference list includes only cited works; a bibliography may include all consulted materials, cited or not.
Should I reference lecture notes?	This depends on your facultyâ€™s requirementsâ€”check their policy or ask your instructor.
How do I cite multiple references at once in Vancouver style?	Use hyphens for inclusive numbers (e.g., 3-6) and commas for non-sequential numbers (e.g., 3,9,17).
What are examples of sources referenced in Vancouver style?	Sources include books, journal articles, web pages, conference papers, theses, emails, interviews, podcasts, and more.
How should I cite web pages or websites?	Cite the title, responsible organization, publication date (if available), and full URL. Format depends on whether it's a professional or general source.
Do I need to cite images and figures?	Yes, cite all images, whether from print or online sources, with appropriate details.
How do I cite content from apps like UpToDate or DynaMed?	Include the app name, publisher, year, and access date. Specific formats are available for each app type.
What is the purpose of the Library Support Guides for Research Summer School participants?	The guides help participants learn literature search strategies, choose search terms, and access different scholarly sources.
What is Primo?	Primo is the discovery tool at RCSI Bahrain Library that enables users to search books, articles, and other resources in one location.
How can I access PubMed?	PubMed can be accessed through the Library Support Guide and includes instructions on how to search and save searches.
What databases are accessible via the library portal?	Accessible databases include MEDLINE, Health Research Premium, Science Direct, Scopus, and Web of Science.
What is Covidence used for?	Covidence is a tool designed to streamline systematic reviews by assisting healthcare professionals and researchers in evidence synthesis.
What is PRISMA?	PRISMA provides a minimum set of items for reporting in literature reviews, systematic reviews, and meta-analyses.
What tool can help in writing a literature review?	The guide includes a Literature Review Matrix (Excel format) to help compare and contrast findings in the literature.
What is PROSPERO?	PROSPERO is an international database of prospectively registered systematic reviews in health and social care.
What resources are available for global health statistics?	Resources include the WHO Global Health Observatory, CDC Data & Statistics, and the National Center for Health Statistics.
What referencing styles are supported?	The guide supports Harvard and Vancouver referencing styles.
What tools are available for managing references?	Reference management tools include EndNote 20 for Mac and Mendeley.
Where can I find laboratory research protocols?	Protocol resources include Cold Spring Harbor Protocols, PLoS ONE, Springer/Nature Protocols, Wiley-Blackwell Current Protocols, and WHO IRIS laboratory manuals.
What subjects are covered in Cold Spring Harbor Protocols?	Subjects include antibodies, genomics, cell biology, electrophoresis, immunology, PCR, proteins, RNAi, stem cells, and more.
How many protocols are available through Springer/Nature Protocols?	Over 60,000 protocols and methods are available in life and biomedical sciences.
What areas are covered by Wiley-Blackwell Current Protocols?	Topics include bioinformatics, genetics, immunology, MRI, microbiology, molecular biology, protein science, and toxicology.
What is the Harvard referencing style?	Harvard is an author-date citation style where in-text references link to a full list of sources at the end.
How do I cite in-text using Harvard style?	Cite with the authorâ€™s surname and year of publication, e.g., (Henderson, 2005), or include the author in the sentence.
How do I cite a source with two or three authors?	List all authors in the citation, e.g., (Barros, Read & Verdejo, 2008).
How do I cite a source with four or more authors?	Use the first author's surname followed by "et al.", e.g., (van Alphen et al., 2007).
How do I cite works by the same author in the same year?	Add lowercase letters after the year, e.g., (Goldacre, 2008a; Goldacre, 2008b).
How do I cite a chapter from an edited book?	Cite the chapter's author, not the editor of the book.
What is secondary referencing?	When citing a source mentioned in another work, name both authors, e.g., Colluzzi and Pappagallo (2005) as cited by Holding et al. (2008).
How do I cite direct quotations in Harvard style?	Use single quotation marks and include the page number, e.g., (Simons, Menzies & Matthews, 2001, p.4).
How do I cite images, tables, or diagrams?	Treat them as direct quotes: cite the author and page number in-text and in the figure/table caption.
How do I cite a source with no author?	Use a corporate author or 'Anon' if none is available, e.g., (Department of Health, 2009).
How do I cite multimedia works?	Use the title or uploaderâ€™s name as the author. For online videos, cite the uploader (which may be a username).
How do I cite interviews or personal communication?	Use the intervieweeâ€™s surname as the author.
What is the difference between a reference list and a bibliography?	A reference list includes only cited works; a bibliography may include all materials consulted.
Can I use footnotes in Harvard referencing?	Footnotes are generally not used in Harvard referencing.
What should I cite and what can I omit?	Cite all information that is not common knowledge and that you use to support your research.
Who can I contact for help with Harvard referencing?	Contact Dr. Bindhu Nair (bnair@rcsi-mub.com) or visit the Information Services Desk.
What is EndNote 21 used for?	EndNote 21 is reference management software that helps users collect, organize, and cite research sources efficiently.
How do I install EndNote 21 on Windows?	Download it from the RCSI Bahrain Library portal. If you have EndNote 20, uninstall it before installing EndNote 21.
What should I do before installing EndNote 21?	Uninstall any previous version of EndNote (e.g., EndNote 20) before installing version 21.
What file types are associated with an EndNote library?	EndNote libraries have a .enl file and a .Data folder. Both must be kept in the same location.
Can I store my EndNote library on a cloud drive?	No, do not store your EndNote library on OneDrive, Dropbox, or any network/cloud drive as it may corrupt the files.
How do I manually add references in EndNote?	Click â€œNew Referenceâ€ and fill in the details, ensuring the reference type matches the source.
How can I import references from a database like PubMed?	Use direct export, RIS files, or drag and drop citations into your EndNote library.
How do I insert citations into Microsoft Word using EndNote?	Use the â€œInsert Citationâ€ feature under the EndNote tab in Word to add citations directly from your library.
How do I format a bibliography in Word with EndNote?	Select the citation style (e.g., Harvard or Vancouver) from the EndNote tab in Word, and the bibliography will format automatically.
How do I find full text for references in EndNote?	Highlight references and click â€œFind Full Text.â€ If institutional access exists, PDFs will be downloaded and attached.
Can I share my EndNote library?	Yes, EndNote allows library sharing with up to 100 people via EndNote Online or synced libraries.
What are groups and smart groups in EndNote?	Groups are custom collections of references; Smart Groups auto-populate based on search criteria.
How can I back up my EndNote library?	Use â€œFile > Compressed Libraryâ€ to save a .enlx file for backup or transfer.
Who can I contact for help with EndNote?	Contact the libraryâ€™s Information Services Desk or email librarian@rcsi-mub.com for support.
What resources does the Library & Learning Resource Center (LRC) offer?	The LRC offers access to physical facilities, online databases, e-books, recommended reading lists, and subject-specific guides.
What can I find in the Online Library?	The Online Library provides access to research databases, e-books, and digital resources tailored to various academic levels and courses.
How can I learn to use the library effectively?	Use the workshops, videos, and tutorials available through the library to learn at your own pace.
Why should I use the library instead of just using Google?	Library resources are curated, reliable, often free (via subscription), organized, verifiable, and more comprehensive than standard web searches.
What types of study spaces are available in the library?	Options include silent study areas, individual study carrels, computer workstations, and group study rooms.
How do I book a group study room?	Use the room booking system to reserve a room, check in and out using a QR code, and ensure at least two students per reservation.
How can I find a book in the library?	Use the online PRIMO Search to locate books and reserve them using your RCSI login credentials.
Who can borrow library materials?	All registered RCSI Bahrain students and staff can borrow materials using a valid ID card.
What is the policy for borrowing high-demand items?	High-demand items may be placed on short loan to ensure fair access for all users.
What are the fines for overdue library books?	Overdue fines are 0.100 fils per day per item.
What should I do if I lose a library book?	Report the loss immediately to library staff. You are responsible for replacement costs until the book is returned and cleared.
How do I access the libraryâ€™s electronic resources?	Use Primo to search and log in using your RCSI Bahrain credentials. Contact IT if you experience login issues.
What should I do if the library doesnâ€™t have an article I need?	Submit a Document Delivery Request form to order the full text.
Can I request the library to purchase a book?	Yes, visit the LRC office to complete an order form and make a cash payment in advance. Orders take 6â€“8 weeks.
Who are the main library staff contacts?	Key contacts include Dr. Bindhu Nair (Head of Library Services), Mr. Asif Altaf, Dr. Suchita Dsilva, Mr. Muhammad Zeeshan, and Ms. Hanna George.
How can I get help with library services?	Email librarian@rcsi-mub.com, call 16660018, use LibChat, or schedule a one-on-one consultation online.
What is EndNote 21 for Mac used for?	EndNote 21 is reference management software designed to help users organize, cite, and collaborate on research using a centralized, searchable library.
How can I sync EndNote across devices?	Use the EndNote Sync feature to synchronize your library across up to three personal computers and mobile devices, provided you own and use all devices.
Can I share my EndNote library with others?	Yes, you can share your EndNote library with up to 1,000 co-authors or colleagues through the library sharing feature.
What are the new features in EndNote 21 for Mac?	New features include tag organization, library/data restoration, Word Online and Google Docs integration, improved duplicate detection, and retraction alerts.
How do I create a new EndNote library?	Open EndNote from the Applications folder, and a default library named "My EndNote Library" will be created with a .enl file and .Data folder.
How do I change the referencing style in EndNote?	Click the drop-down in the bottom-right corner and select your desired referencing style.
How do I import references from Primo or databases?	Search and export citations using the RIS format from platforms like Primo, PubMed, Scopus, or Cochrane, then open the file to import into EndNote.
How can I import references from Google Scholar?	Enable the "Import into EndNote" setting under Google Scholarâ€™s Settings â†’ Bibliography Manager, then click the link under a citation to download a .enw file.
What is the process for creating manual references?	Use â€œNew Reference,â€ select the reference type, fill in required fields, save, and preview the record in your chosen citation style.
How do I import PDFs into EndNote?	Use File > Import > File and select "PDF" under Import Options. EndNote will auto-extract reference data if available.
How can I attach PDFs manually to references?	Use the "+ Attach PDF" option in the reference panel after saving the PDF to your computer.
How do I manage and organize references into groups?	Create a group under the â€œGroupsâ€ menu, then drag references or use "Add References To" to move them into the group.
What is the use of tags in EndNote?	Tags can be added in the Tags field within a reference for better organization and searchability.
How can I find full-text articles using EndNote?	Use the â€œFind Full Textâ€ feature, ensuring the OpenURL Path is set to RCSI's link resolver to retrieve PDFs or URLs.
How do I remove duplicates in EndNote?	Use Library > Find Duplicates to compare and manage duplicate references. You can delete or manually review duplicates.
What are the best practices for sharing an EndNote library?	Create a compressed library (.enlx file) and send via email. The recipient opens it through EndNote to decompress and use the references.
How do I use EndNote with Microsoft Word?	Use the â€œInsert Citationâ€ feature in the EndNote tab. To troubleshoot visibility, ensure the CWYW add-in is enabled and automation permissions are set.
How can I edit or remove a citation in Word using EndNote?	Use â€œEdit & Manage Citation(s)â€ in the EndNote tab to add page numbers, exclude details, or remove the citation.
Where can I find more EndNote training and support?	Access videos and resources at Clarivateâ€™s EndNote Training Hub or email librarian@rcsi-mub.com.
What is artificial intelligence (AI)?	AI refers to computer systems performing tasks that usually require human intelligence, including machine learning and deep learning.
What are common applications of AI in everyday life?	Examples include voice assistants like Siri, translation tools like Google Translate, and more complex uses in business and education.
Can students use AI tools in their coursework?	Students should use AI responsibly and only when permitted; coursework should generally be completed independently without unauthorized AI assistance.
How can students use AI effectively for learning?	AI can help summarize notes, generate study questions, check grammar, brainstorm topics, and simulate real-world research practices.
What is the CREATE framework for AI prompting?	CREATE stands for Character, Request, Examples, Adjustments, Type, and Extrasâ€”guidelines for crafting effective AI prompts.
What are some recommended AI tools for education and research?	Tools include ChatGPT, DALLÂ·E 2, Jasper, Elicit, ResearchRabbit, Scholarcy, Scite.ai, Semantic Scholar, and Trinka.
How should AI-generated content be cited?	Cite the AI tool with the company name and year, and include the full chat transcript as an appendix if needed. APA citation examples are provided.
What are the ethical concerns when using generative AI?	Issues include bias, accuracy, academic dishonesty, copyright ambiguity, overreliance, and data privacy risks.
What AI detection tools are available for educators?	Detection tools include AI Detector Pro, CopyLeaks, GPTZero, GPT-2 Output Detector, Scribbr, Turnitin AI Writing Detector, and Winston.
Who holds the copyright of AI-generated content?	Copyright laws are unclear; generally, AI-generated content is not considered to have human authorship and may not be copyrightable.
How should RCSI learners approach AI use?	Use AI ethically and consult course guidelines or instructors. Misuse of AI, like using it to complete assignments, may constitute plagiarism.
What is the 'Find a Seat' service?	It is an online service that allows registered RCSI Bahrain members to reserve library study rooms.
Who can use the study rooms?	Study rooms are available to students seeking collaborative study space.
How long can I book a study room for?	Rooms can be booked for up to 2 hours.
What zones are available for booking?	Bookings can be made in the Red Zone and Green Zone.
How do I make a room booking?	Log in to the 'Find a Seat' service with your RCSI Bahrain email, choose a zone, select a room, and follow the prompts to complete your booking.
What do I need to bring to access a reserved room?	Bring your confirmation email and RCSI ID.
What are the occupancy rules for study rooms?	A minimum of 2 people is required per room, and you must scan the QR code to check in and out.
Can I make more than one reservation a day?	No, each user can only make one reservation per day.
What happens if I don't occupy the room within 30 minutes of the booking time?	The room becomes available for others to use.
How do I cancel a booking I no longer need?	Cancel it through the 'Find a Seat' service so others can reserve it.
What happens if someone tries to monopolize study rooms?	It is considered a breach of the Library's Code of Conduct.
Are there any rules on moving furniture in the library?	No, students should not move chairs or tables; furniture placement is optimized for safety and efficiency.
What are the check-in procedures for reserved rooms?	Scan the QR code or enter the 3-digit code upon arrival and scan again when leaving.
What safety measures are in place for study rooms?	Regular cleaning, availability of hand sanitizer and disinfectant materials, and adherence to social distancing and mask-wearing protocols.
What are current awareness services?	These are tools that help users stay updated with the latest literature in their field through automated alerts and updates.
What is a search alert service?	It automatically runs saved database searches and delivers the results via email or RSS feed.
What is a citation alert service?	It sends notifications whenever a chosen article is cited by new publications.
What is a Journal Issue or TOC alert?	It notifies users via email or RSS feed whenever a new issue of a selected journal is published.
How do I save searches in PubMed?	Sign in to My NCBI, run your search in PubMed, and click "Save Search" to create alerts.
How can I set up alerts in ScienceDirect?	On the results page, click 'Set search alert', name your alert, choose the frequency, and save it.
How do I create alerts in Web of Science?	Register an account, run a search, then click 'Create Alert' from the left panel and fill out the popup form.
What current awareness resources are available for medicine?	Journals like NEJM, The Lancet, and BMC Medicine offer website and RSS feeds for recent research updates.
What nursing journals provide current awareness updates?	BMC Nursing, Journal of Pediatric Nursing, and The Journal for Nurse Practitioners provide updates and feeds.
Can I receive alerts from PubMed for full-text availability?	Yes, customize My NCBI preferences to include full-text links in your PubMed alerts.
How can I contact the library for help with current awareness tools?	Reach out to the library if you have trouble accessing databases or setting up alerts.
What is the Book Request Service?	It is an online service for borrowing and returning print resources from the Library collection at RCSI Bahrain.
Who can use the Book Request Service?	All RCSI Bahrain students and staff can use this service.
How many books can I request at one time?	You can request up to 5 books from the main library collection.
How do I submit a book request?	Log in to Primo using your RCSI email ID and password, search for books, and submit a request for available titles.
What happens after I submit a request?	Library staff retrieve the book, scan it, and place it on a hold shelf. You'll be notified via email once it's ready.
How will I know when my book is ready for pickup?	An email will be sent to your RCSI email address with a collection date once the book is ready.
Where do I collect requested books?	Collect your books from the Information Services Desk.
How long will the library hold my requested books?	Requested books will be held for two days following the notification email.
What happens if I don't collect the books within two days?	If not collected within two days, the books will be reshelved.
What is the Libby app?	Libby is a free app that allows RCSI Bahrain users to borrow ebooks and audiobooks from the Library & Learning Resource Centre.
How do I get started with Libby?	Install the Libby app, find RCSI - Medical University of Bahrain, and sign in with your VLE username and password.
What do I need to use Libby?	You need your VLE credentials, internet access, and a device like a smartphone, tablet, or e-reader with the Libby app installed.
How many titles can I borrow on Libby at once?	You can check out up to 2 titles at a time.
How long can I borrow titles on Libby?	Titles can be borrowed for up to 7 days.
Are there late fees for Libby titles?	No, titles are automatically returned at the end of the lending period, so there are no late fees.
Can I place a hold on books in Libby?	Yes, you can place a hold on up to 3 titles at a time.
How can I view my place in the hold queue in Libby?	Go to Shelf > Holds and tap the calendar icon to view your spot in line and other wait list details.
How can I customize my browsing experience in Libby?	Tap â€œPreferencesâ€ on your library's home screen to adjust filters and sorting options, then tap â€œApply Preferences.â€
How can I explore book recommendations in Libby?	Tap â€œExploreâ€ on your library's home screen to search by subject, popularity, availability, and more.
Can I add more than one library in Libby?	Yes, tap the Libby icon > â€œAdd a Library,â€ then search by name or zip code.
Where can I get help with Libby?	Use the in-app support or visit help.libbyapp.com, or email librarian@rcsi-mub.com or aaltaf@rcsi-mub.com.
Can I search Primo without logging in?	Yes, you can search as a guest, but you wonâ€™t see circulation rules or have access to full-text resources.
Why should I log in to Primo?	Logging in with your RCSI Bahrain username and password provides a more accurate search experience and access to full-text resources and borrowing features.
What should I do if I canâ€™t log in to Primo?	Contact IT at helpdesk@rcsi-mub.com to reset your password.
What happened to the Heritage catalog?	Primo replaced the Heritage catalog on January 31, 2023, consolidating print and electronic collections into one search platform.
Do I need to log in to borrow or access full-text resources?	Yes, logging in is required to borrow items and access full-text electronic resources.
How can I search for books in Primo?	Use either the Basic or Advanced Search options to locate books in the library collection.
How do I search for articles in Primo?	Enter keywords or article titles in the search bar and use filters to refine results to journal articles.
How do I search for journals in Primo?	Use the Advanced Search and select â€œJournal Titleâ€ to find specific journals.
How do I renew books in Primo?	Sign in to your library account in Primo to view your loans and renew eligible items.
What are Boolean operators in Primo searching?	Boolean operators like AND, OR, and NOT help refine search results and can be used in both Basic and Advanced Search modes.
